FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
0,STONE,8370,12.000000000000000,115.000000000000000,2.000000000000000,Yes,49023,None
1,HALF MOON BAY,2410,12.000000000000000,60.000000000000000,3.000000000000000,No,49024,"1,2"
2,DOLAN ROAD,18238,12.000000000000000,115.000000000000000,2.000000000000000,Yes,49025,None
3,DALY CITY,2264,12.000000000000000,115.000000000000000,3.000000000000000,Yes,49026,None
4,EDENVALE,8295,12.000000000000000,115.000000000000000,4.000000000000000,Yes,49027,None
5,MC KEE,8353,12.000000000000000,115.000000000000000,3.000000000000000,Yes,49028,None
6,KING CITY,18203,12.000000000000000,60.000000000000000,3.000000000000000,Yes,49030,None
7,MONTAGUE,8389,21.000000000000000,115.000000000000000,3.000000000000000,Yes,49032,None
8,SAN JOSE A,8225,4.000000000000000,115.000000000000000,4.000000000000000,Yes,49035,None
9,EL PATIO,8292,12.000000000000000,115.000000000000000,4.000000000000000,Yes,49036,None
10,PACIFICA,2281,12.000000000000000,60.000000000000000,2.000000000000000,Yes,49038,"1,2"
11,MT EDEN,1376,12.000000000000000,115.000000000000000,3.000000000000000,Yes,49039,None
12,CASTROVILLE,18235,21.000000000000000,115.000000000000000,1.000000000000000,Yes,49040,None
13,CAMBRIA,18277,12.000000000000000,70.000000000000000,1.000000000000000,No,49042,1
14,BAYWOOD,18280,12.000000000000000,70.000000000000000,1.000000000000000,Yes,49043,1
15,FOOTHILL,18295,12.000000000000000,115.000000000000000,1.000000000000000,Yes,49044,None
16,BEN LOMOND,8304,4.000000000000000,21.000000000000000,2.000000000000000,No,49046,None
17,HATTON,18229,12.000000000000000,60.000000000000000,1.000000000000000,No,49048,1
18,LAURELES,18237,12.000000000000000,60.000000000000000,1.000000000000000,No,49049,None
19,LIVERMORE,1214,12.000000000000000,60.000000000000000,2.000000000000000,No,49052,None
20,WOODSIDE,2425,12.000000000000000,60.000000000000000,3.000000000000000,Yes,49054,None
21,LAWRENCE,8342,12.000000000000000,115.000000000000000,3.000000000000000,Yes,49055,None
22,OCEANO,18260,12.000000000000000,115.000000000000000,2.000000000000000,No,49056,None
23,POTRERO A,2203,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161843,None
24,PEABODY,6364,21.000000000000000,230.000000000000000,3.000000000000000,Yes,161725,None
25,GRAND ISLAND,6246,21.000000000000000,115.000000000000000,3.000000000000000,Yes,161722,None
26,ZAMORA,6319,12.000000000000000,115.000000000000000,2.000000000000000,No,161723,None
27,MERIDIAN,6254,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161724,1
