X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-117.293525898781496,34.472798199422385,1676,Savage,Victor 220/115 System,D -- Distribution,115/12 kV,18.515,0.166,18.681,106.4,17.26,88.03,Interconnection studies in this area have identified adequate deliverability.,52
-117.354278879699791,34.102737060426485,1723,Pepper,Vista 220/115 System,D -- Distribution,115/12 kV,8.934,0.169,9.102,65.3,15.72,65.74,Interconnection studies in this area have identified adequate deliverability.,53
-116.423930437014874,34.110269990401051,1770,Yucca,Devers 220/115 System,D -- Distribution,115/12 kV,6.724,0.592,7.315,41.9,20.61,36.17,Deliverability in this area has not been determined by previous interconnection studies.,54
-117.218185258609353,33.902360203857647,1777,Alessandro,Valley 'Ab' 500/115 System,D -- Distribution,115/12 kV,37.323,35.658,72.98,100.8,28.98,71.59,Deliverability in this area has not been determined by previous interconnection studies.,55
-118.476981995833256,35.633101999095111,606,Isabella,Vestal 220/66 System,D -- Distribution,66/12 kV,1.742,0,1.742,16.7,16.34,25.28,Interconnection studies in this area have identified inadequate deliverability.,56
-119.145393934926489,35.909070322122766,607,Wheatland,Vestal 220/66 System,D -- Distribution,66/12 kV,1.398,0,1.398,14.8,12.48,26.15,Interconnection studies in this area have identified inadequate deliverability.,57
-118.890439358708491,36.451692283373234,609,Three Rivers,Rector 220/66 System,D -- Distribution,66/12 kV,0.866,0.01,0.875,7.5,12.97,8.03,Interconnection studies in this area have identified inadequate deliverability.,58
-118.821400845818843,36.126102255585131,610,Boxwood,Springville 220/66 System,D -- Distribution,66/12 kV,1.641,0.032,1.673,11.9,15.15,26.19,Interconnection studies in this area have identified inadequate deliverability.,59
-119.197166468729236,37.248967525057473,611,Line Creek,Big Creek 220/220 System,D -- Distribution,33/4.16 kV,0,0,0,0.9,0,1,Interconnection studies in this area have identified inadequate deliverability.,60
-118.263673878532416,35.665203646730184,612,Weldon,Vestal 220/66 System,D -- Distribution,66/12 kV,1.064,0,1.064,3.8,28.37,26.93,Interconnection studies in this area have identified inadequate deliverability.,61
-118.431739501782062,35.772058102740026,614,Kernville,Vestal 220/66 System,D -- Distribution,66/12 kV,0.258,0,0.258,5.1,5.48,12.32,Interconnection studies in this area have identified inadequate deliverability.,62
-118.493929331709097,35.11090957353202,644,Cummings,Windhub 220/66 System,D -- Distribution,66/12 kV,0.779,0.037,0.816,14,296.02,0,Interconnection studies in this area have identified adequate deliverability.,63
-118.382410593961254,35.125762648622839,657,Monolith,Windhub 220/66 System,D -- Distribution,66/12 kV,1.827,16.015,17.842,24.6,111.93,0.44,Interconnection studies in this area have identified adequate deliverability.,64
-118.197244996695986,34.510487999291257,623,Acton,Antelope 220/66 System,D -- Distribution,66/12 kV,3.533,0.063,3.596,19.6,18.84,52.31,Interconnection studies in this area have identified adequate deliverability.,65
-120.044151342879374,34.481483586056619,646,Capitan,Goleta 220/66 System,D -- Distribution,66/16 kV,3.178,1.99,5.168,6.7,179.39,16.02,Interconnection studies in this area have identified adequate deliverability.,66
-119.31314832965937,36.357378180313333,1903,Riverway,Rector 220/66 System,D -- Distribution,66/12 kV,13.417,0.132,13.549,48.3,38.28,37.5,Interconnection studies in this area have identified inadequate deliverability.,67
-117.624480358215862,34.358768252396956,1772,Wrightwood,Victor 220/115 System,D -- Distribution,33/12 kV,0.149,0,0.149,10.1,2.13,27.79,Interconnection studies in this area have identified adequate deliverability.,68
-118.082879142079904,34.092588602201815,414,Rosemead,Mesa 220/66 System,D -- Distribution,66/16 kV,4.232,1.793,6.025,90.3,7.46,88.47,Interconnection studies in this area have identified adequate deliverability.,69
-118.100149005482095,34.098501995713235,415,San Gabriel,Mesa 220/66 System,D -- Distribution,66/4.16 kV,0.816,0.006,0.822,16.8,5.91,24.01,Interconnection studies in this area have identified adequate deliverability.,70
-118.098325289809694,34.12812802683834,416,San Marino,Mesa 220/66 System,D -- Distribution,16/4.16 kV,0.42,0,0.42,6.9,6.34,8.94,Interconnection studies in this area have identified adequate deliverability.,71
-118.054519082421876,34.15842557919602,417,Sierra Madre,Rio Hondo 220/66 System,D -- Distribution,16/4.16 kV,0.596,0.01,0.606,6.4,9.94,8.51,Interconnection studies in this area have identified adequate deliverability.,72
-118.182384690668613,34.057275080474014,419,Terrace,Mesa 220/66 System,D -- Distribution,16/4.16 kV,0.083,0.005,0.087,3,3.22,6.9,Interconnection studies in this area have identified adequate deliverability.,73
-117.965632954489649,34.138564705996778,422,Duarte,Rio Hondo 220/66 System,D -- Distribution,16/4.16 kV,0.414,0.003,0.417,5.8,7.33,8.73,Interconnection studies in this area have identified adequate deliverability.,74
-118.047871997578696,34.052461002178859,423,Hoyt,Mesa 220/66 System,D -- Distribution,16/4.16 kV,0.363,0.016,0.378,9.2,4.14,13.35,Interconnection studies in this area have identified adequate deliverability.,75
-118.075357627257716,34.088000761607091,424,Ivar,Mesa 220/66 System,D -- Distribution,16/4.16 kV,0.257,0.007,0.264,6.2,4.27,7.24,Interconnection studies in this area have identified adequate deliverability.,76
-118.172703891804716,34.200001922783599,427,Arroyo,Gould 220/66 System,D -- Distribution,66/16 kV,4.245,0.747,4.992,71.9,9.35,77.28,Interconnection studies in this area have identified adequate deliverability.,77
-118.026991787083332,34.071691268875902,430,Amador,Rio Hondo 220/66 System,D -- Distribution,66/4.16 kV,4.698,1.404,6.102,15.1,4.98,17.25,Interconnection studies in this area have identified adequate deliverability.,78
-118.148041519740005,34.191644903182087,431,Fair Oaks,Gould 220/66 System,D -- Distribution,16/4.16 kV,0.904,0.013,0.917,8.5,11.64,12.46,Interconnection studies in this area have identified adequate deliverability.,79
-118.162792592425461,34.047847699790303,434,Repetto,Mesa 220/66 System,D -- Distribution,66/4.16 kV,3.7,3.581,7.282,6,5.85,5.65,Interconnection studies in this area have identified adequate deliverability.,80
-118.008324210676093,34.118573778951138,436,Mayflower,Rio Hondo 220/66 System,D -- Distribution,16/4.16 kV,0.739,0.004,0.744,9,8.63,10.42,Interconnection studies in this area have identified adequate deliverability.,81
