CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Baxter,12,0,57,3,3,29,0,0,0,State Street 66/12 Kv,Hinson 220/66 System,N/A,798,23079.1932832038
Bayberry,12,0,49,0,39,12,0.328,0,0.328,Soquel 66/12 Kv,Chino 220/66 System,N/A,799,83413.0763397615
Die,12,0,6,0,86,8,1.362,0,1.362,Industry 66/12 Kv,Walnut 220/66 System,N/A,800,64119.6866196978
Ditch,16,0,5,0,89,6,1.154,0,1.154,Gonzales 66/16 Kv,Santa Clara 220/66 System,N/A,801,65093.8718977518
Ditman,4,0,5,0,91,5,0.019,0,0.019,Belvedere 16/4 Kv,Mesa 220/66 System,N/A,802,13495.0141879452
Doctrine,4,0,3,0,93,4,0.054,0,0.054,Cedarwood 12/4 Kv,Barre 220/66 System,N/A,803,8923.77097625298
Bayse,4,0,4,0,89,7,0.09,0,0.09,Amador 66/4 Kv,Rio Hondo 220/66 System,N/A,804,11756.6473694178
Bazooka,12,0,6,0,83,10,1.971,0,1.971,Bunker 115/12 Kv,Valley 'Ab' 500/115 System,N/A,805,97869.581706189
Beach,12,0,8,0,86,6,0.168,0,0.168,Oceanview 66/12 Kv,Ellis 'A' 220/66 System,N/A,806,33266.1520174739
Bearcreek,12,0,5,0,91,5,0.143,0,0.143,Skylark 115/12 Kv,Valley 'D' 500/115 System,N/A,807,9639.57114030374
Dixie,12,0,8,0,86,6,1.022,0,1.022,Villa Park 66/12 Kv,Villa Park 220/66 System,N/A,808,37478.1316122537
Doane,12,0,22,0,65,13,0.534,0,0.534,San Antonio 66/12 Kv,Padua 220/66 System,N/A,809,22188.6890602051
Doctors,12,0,5,0,84,12,0.254,0,0.254,Timoteo 66/12 Kv,San Bernardino 220/66 System,N/A,810,41637.0880938865
Doe,12,0,5,0,90,5,0.344,0,0.344,La Mirada 66/12 Kv,Del Amo 220/66 System,N/A,811,52100.2947025793
Doerner,12,0,82,1,4,13,0.091,0,0.091,Santa Fe Springs 66/12 Kv,Center 220/66 System,N/A,812,39912.7015436867
Calvo,12,0,5,0,90,5,1.2,0,1.2,Padua 66/12 Kv,Padua 220/66 System,N/A,813,39755.7701124192
Cambridge,12,0,1,0,94,5,0.714,0,0.714,Mayberry 115/12 Kv,Valley 'Ab' 500/115 System,N/A,814,30969.1765489986
Beardsley,16,,,,,,24.378,0,24.378,Colonia 66/16 Kv,Santa Clara 220/66 System,N/A,815,87580.1439632155
Bear Valley,33,0,4,0,67,29,0.001,0,0.001,Zanja 115/33 Kv,El Casco 220/115 System,N/A,816,116742.098445765
Beige,12,0,17,0,78,4,0.058,0,0.058,Orange 66/12 Kv,Villa Park 220/66 System,N/A,817,12946.4483787288
Cornnut,12,0,78,3,2,17,0,0,0,Chestnut 66/12 Kv,Johanna 220/66 System,N/A,818,43399.9364411381
Cornwall,12,1,5,0,89,5,0.449,0,0.449,Narrows 66/12 Kv,Mesa 220/66 System,N/A,819,64957.766223092
Corsair,12,0,6,0,78,16,1.954,0,1.954,Stetson 115/12 Kv,Valley 'Ab' 500/115 System,N/A,820,188051.992286876
Cottage Grove,2.4,0,4,0,90,6,0.006,0,0.006,Cottage Grove 12/2.4 Kv,Vista 220/115 System,N/A,821,15985.2301343071
Campanula,25,0,3,0,89,9,1.001,0,1.001,Nugget 33/25 Kv,Devers 220/115 System,N/A,822,54792.780904571
Campbell,12,1,5,0,79,16,5.361,0,5.361,Porterville 66/12 Kv,Springville 220/66 System,N/A,823,159939.9658455
Candle,12,0,39,0,42,16,0.861,0,0.861,Somerset 66/12 Kv,Del Amo 220/66 System,N/A,824,43688.5556053204
Candleberry,12,0,25,0,69,6,0.821,0,0.821,Anaverde 66/12 Kv,Antelope 220/66 System,N/A,825,47871.6847232326
Cottonmouth,16,0,6,0,90,5,1.013,0,1.013,North Oaks 66/16 Kv,Saugus 220/66 System,N/A,826,58372.137826562
Country Club,4,0,85,0,0,7,0,0,0,Beverly 66/4 Kv,Eagle Rock 220/66 System,N/A,827,6964.92303339989
Course,12,0,21,0,72,7,0.486,0,0.486,Placentia 66/12 Kv,Villa Park 220/66 System,N/A,828,23430.3699914581
Canebrake,12,,,,,,0.116,0,0.116,Weldon 66/12 Kv,Vestal 220/66 System,N/A,829,280777.181758089
