CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Dashwood,4,0,0,0,95,4,0.135,0,0.135,Lucas 66/4 Kv,Del Amo 220/66 System,N/A,1001,14070.9052226629
Date,12,0,9,0,76,15,3.219,0,3.219,Olive Lake 33/12 Kv,Blythe (Walc) 161/33 System,N/A,1002,111402.241517302
Fifth St.,16,1,70,2,3,23,3.712,0,3.712,Colonia 66/16 Kv,Santa Clara 220/66 System,N/A,1003,103719.136426934
Figueroa,4,0,47,0,43,14,0,0,0,Santa Barbara 66/4 Kv,Goleta 220/66 System,N/A,1004,10210.0688413754
Fig,16,0,22,0,66,12,1.296,0,1.296,Bradbury 66/16 Kv,Rio Hondo 220/66 System,N/A,1005,31863.0643764515
Filbert,12,0,71,2,8,18,0.143,0,0.143,Chestnut 66/12 Kv,Johanna 220/66 System,N/A,1006,19604.1734474237
Finch,12,0,2,0,95,4,0.975,0,0.975,Narod 66/12 Kv,Chino 220/66 System,N/A,1007,30662.1839296725
Deanna,12,0,8,0,86,7,0.807,0,0.807,Lark Ellen 66/12 Kv,Rio Hondo 220/66 System,N/A,1008,42919.4176373809
Dearborn,12,0,17,0,72,11,0.276,0,0.276,Redlands 66/12 Kv,San Bernardino 220/66 System,N/A,1009,50025.482371437
Decosta,12,0,7,0,88,5,0.3,0,0.3,Passons 66/12 Kv,Center 220/66 System,N/A,1010,46255.0875803869
Decoy,12,0,2,0,95,3,0.184,0,0.184,Center 66/12 Kv,Center 220/66 System,N/A,1011,23822.5291380195
Fingal,12,0,4,0,80,16,3.467,0,3.467,Cabazon 33/12 Kv,El Casco 220/115 System,N/A,1012,122154.205429661
Flabob,12,0,9,0,80,10,0.244,0,0.244,Rubidoux 33/12 Kv,Vista 220/115 System,N/A,1013,25993.3043374312
Flagstaff,12,0,6,0,90,4,1.822,0,1.822,Elsinore 115/12 Kv,Valley 'D' 500/115 System,N/A,1014,51559.2276790808
Flake,12,0,2,0,95,3,1.286,0,1.286,Maxwell 115/12 Kv,Vista 220/115 System,N/A,1015,36949.4156231537
Ros,12,0,3,0,92,5,1.933,0,1.933,Valley 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1016,83475.6603272263
Flagg,12,0,11,0,83,8,0.509,0,0.509,Sunnyside 66/12 Kv,Lighthipe 220/66 System,N/A,1017,35951.7814322818
Flask,12,0,5,0,87,9,0.31,0,0.31,Lighthipe 66/12 Kv,Lighthipe 220/66 System,N/A,1018,47213.4190849671
Deluz,12,0,6,0,75,19,0.37,0,0.37,Deluz P.T. 33/12 Kv,Valley 'D' 500/115 System,N/A,1019,49122.001647584
Del Carbon,12,0,7,0,85,8,0.994,0,0.994,Peyton 66/12 Kv,Chino 220/66 System,N/A,1020,92093.8669002054
Delta,12,1,5,0,77,16,2.289,0,2.289,Venida 66/12 Kv,Rector 220/66 System,N/A,1021,77543.6534283501
Denver,12,0,12,1,65,21,0.006,0,0.006,Cameron 66/12 Kv,Hinson 220/66 System,N/A,1022,32124.4479510996
Deodara,12,0,41,0,49,12,0.137,0,0.137,La Habra 66/12 Kv,Olinda 220/66 System,N/A,1023,33766.7571148244
Derby,12,0,6,0,85,9,0.136,0,0.136,Colton 66/12 Kv,Vista A 220/66 System,N/A,1024,40497.8650733782
Derrick,4,0,3,0,93,4,0.19,0,0.19,Signal Hill 12/4 Kv,Lighthipe 220/66 System,N/A,1025,9959.06853072805
Coventry,16,,,,,,0.944,0,0.944,Thousand Oaks 66/16 Kv,Moorpark 220/66 System,N/A,1026,167736.108937054
Cowen,4,0,4,0,87,9,0.07,0,0.07,Mt. Vernon 33/4 Kv,Vista 220/115 System,N/A,1027,19299.4997382078
Cram,12,0,3,0,85,13,1.615,0,1.615,Highland 66/12 Kv,San Bernardino 220/66 System,N/A,1028,59862.3539560612
Cree,12,1,56,10,3,32,0.587,0,0.587,Oak Grove 66/12 Kv,Rector 220/66 System,N/A,1029,41611.5432515828
Creekside,12,0,12,0,79,9,0.335,0,0.335,Archibald 66/12 Kv,Mira Loma 220/66 System,N/A,1030,85273.1395662857
Desert,4,0,8,0,78,14,0.028,0,0.028,Lancaster 12/4 Kv,Antelope 220/66 System,N/A,1031,14413.4765629051
Desert Crest,12,0,0,0,0,0,0,0,0,Garnet 33/12 Kv,Devers 220/115 System,N/A,1032,2259.83308991683
Devils Gate,16,0,7,0,88,6,0.384,0,0.384,Arroyo 66/16 Kv,Gould 220/66 System,N/A,1033,58421.0268061563
Dundas,16,0,13,0,71,15,0.054,0,0.054,Wabash 66/16 Kv,Mesa 220/66 System,N/A,1034,20412.5856870639
Duntley,12,0,22,0,20,51,0.06,0,0.06,Neenach 66/12 Kv,Bailey 220/66 System,N/A,1035,117594.83520191
Durango,4,0,20,0,74,6,0.035,0,0.035,Culver 66/4 Kv,La Cienega 220/66 System,N/A,1036,14806.6309076436
Durfee,4,0,6,0,91,4,0.073,0,0.073,Bartolo 12/4 Kv,Mesa 220/66 System,N/A,1037,13381.895251393
Durward,12,0,50,0,29,19,6.225,0,6.225,Layfair 66/12 Kv,Padua 220/66 System,N/A,1038,30091.9124382127
Crenshaw,4,0,8,0,87,5,0.042,0,0.042,Moneta 16/4 Kv,La Fresa 220/66 System,N/A,1039,17458.4259374824
Crescent,4,0,15,0,85,0,0,0,0,Fairfax 16/4 Kv,Eagle Rock 220/66 System,N/A,1040,6077.59725564311
Cresthaven,16,0,8,0,88,4,0.991,0,0.991,Oak Park 66/16 Kv,Moorpark 220/66 System,N/A,1041,71654.0671961102
Dusty,16,0,18,1,71,12,0.017,0,0.017,Rio Hondo 66/16 Kv,Rio Hondo 220/66 System,N/A,1042,19671.1049280945
Dweezil,12,0,5,0,89,6,1.206,0,1.206,Quartz Hill 66/12 Kv,Antelope 220/66 System,N/A,1043,42873.5961505369
Dyson,33,0,0,0,0,100,0,0,0,Kramer 115/33 Kv,Kramer 220/115 System,N/A,1044,40385.3983382809
Crestwind,4,0,1,0,90,10,0.054,0,0.054,Crestwind U.G.S. 16/4 Kv,La Fresa 220/66 System,N/A,1045,12182.0277830638
Crevolin,12,0,5,0,91,5,0.678,0,0.678,Cortez 66/12 Kv,Walnut 220/66 System,N/A,1046,24834.8426993314
Dysart,12,0,7,0,48,45,0.062,0,0.062,Dysart P.T. 33/12 Kv,El Casco 220/115 System,N/A,1047,38302.7961976464
Eastland,16,0,8,0,82,10,1.193,0,1.193,Bandini 66/16 Kv,Laguna Bell Ab 220/66 System,N/A,1048,49404.834451491
Eastmont,4,0,2,0,94,5,0.055,0,0.055,Bicknell 16/4 Kv,Mesa 220/66 System,N/A,1049,10810.2104652471
Crosstown,12,0,0,0,0,100,0,0,0,Cabrillo 66/12 Kv,Johanna 220/66 System,N/A,1050,4811.05079657934
Crowder,12,0,3,0,90,7,6.63,0,6.63,Lancaster 66/12 Kv,Antelope 220/66 System,N/A,1051,59363.2283234349
Crownhill,12,0,2,0,95,4,1.173,0,1.173,Pechanga 115/12 Kv,Valley 'D' 500/115 System,N/A,1052,28327.4891937465
Eastwind,12,0,7,0,42,56,1.581,0,1.581,Wilsona 66/12 Kv,Antelope 220/66 System,N/A,1053,67102.3707459923
Edmond,4,0,8,0,86,7,0.093,0,0.093,Ivar 16/4 Kv,Mesa 220/66 System,N/A,1054,15085.6978164872
Edwin,12,0,15,0,75,9,4.297,0,4.297,Alessandro 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1055,65620.1251333676
Eisenmann,12,0,0,0,0,100,0,0,0,Mobiloil 66/12 Kv,La Fresa 220/66 System,N/A,1056,2204.45287293865
Eighteenth,12,1,11,0,45,38,0.076,0,0.076,Ripley 33/12 Kv,Blythe (Walc) 161/33 System,N/A,1057,160854.221245122
Cruz,12,0,16,0,72,13,0.925,0,0.925,Moraga 115/12 Kv,Valley 'D' 500/115 System,N/A,1058,73207.705181002
Cushenbury,33,0,42,0,0,58,0,0,0,Cottonwood 115/33 Kv,Victor 220/115 System,N/A,1059,34135.5289214531
De Mari,4,0,2,0,89,9,0.003,0,0.003,Corona 33/4 Kv,Mira Loma 220/66 System,N/A,1060,10453.2617697646
Electra,16,0,78,1,1,20,0.605,0,0.605,Lockheed 66/16 Kv,Saugus 220/66 System,N/A,1061,67331.0958357681
Elowin,12,0,8,0,83,9,3.372,0,3.372,Oak Grove 66/12 Kv,Rector 220/66 System,N/A,1062,69480.453101465
El Toro,12,0,3,0,91,6,1.088,0,1.088,Irvine 66/12 Kv,Santiago 220/66 System,N/A,1063,40470.626349304
Energy,16,,,,,,2.057,0,2.057,Chatsworth 66/16 Kv,Saugus 220/66 System,N/A,1064,145950.931477658
English,12,0,13,0,79,9,0.243,0,0.243,Sullivan 66/12 Kv,Ellis 'C' 220/66 System,N/A,1065,56486.3831111941
Demaree,12,0,21,0,68,11,0.925,0,0.925,Oak Grove 66/12 Kv,Rector 220/66 System,N/A,1066,53671.4511000198
Denise,12,0,7,0,87,6,0.313,0,0.313,Lark Ellen 66/12 Kv,Rio Hondo 220/66 System,N/A,1067,29732.8602095202
Desert Center,12,0,16,0,17,66,0,0,0,Eagle Mountain 66/12 Kv,Eagle Mountain 220/220 System,N/A,1068,311062.189941944
Devine,16,0,9,0,82,9,0.567,0,0.567,Thousand Oaks 66/16 Kv,Moorpark 220/66 System,N/A,1069,59490.2905904373
Devon,12,0,12,0,79,9,0.322,0,0.322,Bovine 66/12 Kv,Del Amo 220/66 System,N/A,1070,39097.3059460016
Dewitt,16,0,6,0,89,6,0.283,0,0.283,Newhall 66/16 Kv,Saugus 220/66 System,N/A,1071,33316.321676394
Enid,12,0,61,4,7,32,0,0,0,Dalton 66/12 Kv,Rio Hondo 220/66 System,N/A,1072,16663.8416034809
Equinox,12,0,4,0,72,25,0.589,0,0.589,Sun City 115/12 Kv,Valley 'D' 500/115 System,N/A,1073,158256.933951782
Escondido,12,0,0,0,0,0,0,0,0,Escondido P.T. 16/12 Kv,Saugus 220/66 System,N/A,1074,273.842810837957
Euro,12,0,87,0,3,10,0.181,0,0.181,Santiago 66/12 Kv,Santiago 220/66 System,N/A,1075,79028.4094372307
Diablo,16,0,7,0,87,6,1.569,0,1.569,San Miguel 66/16 Kv,Santa Clara 220/66 System,N/A,1076,120546.571001285
Diana,12,0,11,0,83,7,0.535,0,0.535,Marion 66/12 Kv,Barre 220/66 System,N/A,1077,52607.0135641752
Digby,12,0,3,0,94,3,2.43,0,2.43,Randall 66/12 Kv,Etiwanda 220/66 System,N/A,1078,48949.2223566091
Diplomat,12,0,6,0,88,6,0.541,0,0.541,Chase 66/12 Kv,Mira Loma 220/66 System,N/A,1079,63724.6723639709
Division,12,0,3,0,94,3,1.179,0,1.179,Rosamond 66/12 Kv,Antelope 220/66 System,N/A,1080,51285.6469935535
Fairbanks,4,0,5,0,88,7,0.063,0,0.063,Yukon 66/4 Kv,La Fresa 220/66 System,N/A,1081,24988.0381226967
Fairhaven,16,0,27,1,60,12,0.37,0,0.37,Inglewood 66/16 Kv,El Nido 220/66 System,N/A,1082,97008.2543165268
Divot,12,0,4,0,87,9,0.463,0,0.463,Gilbert 66/12 Kv,Barre 220/66 System,N/A,1083,23562.8358157739
Dolores,4,0,1,0,96,3,0.108,0,0.108,Dolores P.T. 16/4 Kv,Gould 220/66 System,N/A,1084,5450.83686000754
Dragon,12,0,34,1,46,19,0.586,0,0.586,San Bernardino 66/12 Kv,San Bernardino 220/66 System,N/A,1085,52570.3821678476
Dressen,12,0,59,0,11,32,0.999,0,0.999,Homart 115/12 Kv,Vista 220/115 System,N/A,1086,71251.3410438185
Fairman,12,0,22,0,63,15,0.04,0,0.04,Sunnyside 66/12 Kv,Lighthipe 220/66 System,N/A,1087,43393.8492701065
Fairmont,12,0,15,0,44,42,1.605,0,1.605,Del Sur 66/12 Kv,Antelope 220/66 System,N/A,1088,151051.941417021
Fairway,12,0,6,0,89,6,1.362,0,1.362,Villa Park 66/12 Kv,Villa Park 220/66 System,N/A,1089,41495.678429135
Fallon,12,0,11,0,83,6,0.419,0,0.419,Eric 66/12 Kv,Del Amo 220/66 System,N/A,1090,27748.3652926994
Famous,33,0,0,0,0,0,0,0,0,Calectric 115/33 Kv,Vista 220/115 System,N/A,1091,14403.5143155581
Fano,12,0,6,0,87,8,1.302,0,1.302,Padua 66/12 Kv,Padua 220/66 System,N/A,1092,49200.580799083
Drill,4,0,5,0,88,8,0.037,0,0.037,Bowl 66/4 Kv,Hinson 220/66 System,N/A,1093,7890.29508844737
Driller,12,0,12,0,83,5,0.565,0,0.565,Olinda 66/12 Kv,Olinda 220/66 System,N/A,1094,39802.3010593891
Pipeline,12,0,5,0,92,3,0.603,0,0.603,Olinda 66/12 Kv,Olinda 220/66 System,N/A,1095,23869.7017545453
Graves,4,0,6,0,88,6,0.093,0,0.093,Alhambra 66/4 Kv,Eagle Rock 220/66 System,N/A,1096,14148.9638804767
Graveyard,16,0,16,0,76,8,0.094,0,0.094,La Fresa 66/16 Kv,La Fresa 220/66 System,N/A,1097,40000.267605494
Grazide,12,0,3,0,93,4,1.323,0,1.323,Walnut 66/12 Kv,Walnut 220/66 System,N/A,1098,33122.8157622395
Greasewood,12,0,8,0,80,13,0.74,0,0.74,Calcity 33/12 Kv,Kramer 220/115 System,N/A,1099,48588.17688189
Diabar,12,0,0,0,0,0,0,0,0,Ganesha 66/12 Kv,Chino 220/66 System,N/A,1100,913.898692219715
Diamond,4,0,13,0,80,7,0.081,0,0.081,Arcadia 66/4 Kv,Rio Hondo 220/66 System,N/A,1101,15269.4156564659
Diamondback,16,0,4,0,91,6,2.588,0,2.588,North Oaks 66/16 Kv,Saugus 220/66 System,N/A,1102,50518.0167507432
Diamante,12,0,5,0,88,7,2.381,0,2.381,Liberty 66/12 Kv,Rector 220/66 System,N/A,1103,44634.7182062679
Dice,33,0,38,0,0,62,0,0,0,Phelan 115/33 Kv,Victor 220/115 System,N/A,1104,85685.9405865949
Dignan,12,0,0,0,0,100,0,0,0,Mobiloil 66/12 Kv,La Fresa 220/66 System,N/A,1105,3543.78470692826
Dillon,12,0,44,8,0,49,0,0,0,Garnet 33/12 Kv,Devers 220/115 System,N/A,1106,13154.4950146068
Dill,12,0,1,0,96,3,0.539,0,0.539,Moreno 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1107,34680.0591717396
Green,12,28,15,0,16,40,0.392,0,0.392,Bliss 66/12 Kv,Springville 220/66 System,N/A,1108,167968.415270435
Green Acres,12,0,13,0,73,15,0.148,0,0.148,Hemet 33/12 Kv,Valley 'Ab' 500/115 System,N/A,1109,47893.184464457
Greenbay,12,0,3,0,91,6,1.781,0,1.781,Slater 66/12 Kv,Ellis 'A' 220/66 System,N/A,1110,43022.906562412
Felix,12,0,15,0,75,9,0.208,0,0.208,Los Cerritos 66/12 Kv,Hinson 220/66 System,N/A,1111,25098.5921355518
Feller,12,0,6,0,89,5,0.174,0,0.174,Hamilton 66/12 Kv,Ellis 'A' 220/66 System,N/A,1112,23794.6752230521
Fellowship,4,0,1,0,94,5,0.239,0,0.239,Playa 16/4 Kv,Goleta 220/66 System,N/A,1113,13680.9564811231
Felon,12,0,0,0,0,100,0,0,0,Mobiloil 66/12 Kv,La Fresa 220/66 System,N/A,1114,2422.4324389035
Grevelia,4,0,15,0,74,11,0.061,0,0.061,Garfield 66/4 Kv,Mesa 220/66 System,N/A,1115,10366.5273437232
Gringo,16,0,12,0,82,6,0.643,0,0.643,San Miguel 66/16 Kv,Santa Clara 220/66 System,N/A,1116,90904.8982301294
Ferina,4,0,3,0,94,4,0.207,0,0.207,Woodruff 12/4 Kv,Del Amo 220/66 System,N/A,1117,24344.7602333188
Fernstrom,12,0,15,0,76,10,0.568,0,0.568,Ganesha 66/12 Kv,Chino 220/66 System,N/A,1118,71094.5956592547
Feron,12,0,10,0,83,6,0.527,0,0.527,Archline 66/12 Kv,Etiwanda 220/66 System,N/A,1119,33728.9314590056
Fiji,12,0,8,0,78,14,0,0,0,Bryan 66/12 Kv,Villa Park 220/66 System,N/A,1120,32662.3181846549
Gridiron,12,0,18,0,73,9,0.434,0,0.434,Stadler 115/12 Kv,Valley 'D' 500/115 System,N/A,1121,53327.3246266607
Hacienda,16,0,5,0,90,5,1.162,0,1.162,Potrero 66/16 Kv,Moorpark 220/66 System,N/A,1122,63274.4859785985
Hackberry,12,0,7,0,85,9,1.106,0,1.106,Parkwood 66/12 Kv,Olinda 220/66 System,N/A,1123,56925.521387054
Haig,12,0,7,0,87,7,0.657,0,0.657,Cortez 66/12 Kv,Walnut 220/66 System,N/A,1124,31572.9236932332
Fizz,12,0,10,0,84,6,0.691,0,0.691,Chiquita 66/12 Kv,Viejo 220/66 System,N/A,1125,65487.1091366326
Flagstone,4,0,1,0,96,3,0.082,0,0.082,Flagstone P.T. 12/4 Kv,Del Amo 220/66 System,N/A,1126,3280.48025617762
Floodgate,12,0,5,0,86,9,2.978,0,2.978,Aqueduct 115/12 Kv,Victor 220/115 System,N/A,1127,130178.396594594
Flying D,12,0,8,0,65,28,0.051,0,0.051,Havilah 66/12 Kv,Windhub 220/66 System,N/A,1128,185382.591611734
Ford,12,0,20,1,0,79,0,0,0,Dike 66/12 Kv,Hinson 220/66 System,N/A,1129,31101.0931717923
Hale,12,0,57,0,0,39,0,0,0,Dike 66/12 Kv,Hinson 220/66 System,N/A,1130,8738.9951852673
Halfback,12,0,4,1,91,4,0.819,0,0.819,Stadler 115/12 Kv,Valley 'D' 500/115 System,N/A,1131,40216.2990065145
Halldale,16,0,6,0,87,7,0.164,0,0.164,Brighton 66/16 Kv,La Fresa 220/66 System,N/A,1132,44214.4659361697
Hallsworth,12,0,10,0,83,8,0.686,0,0.686,Villa Park 66/12 Kv,Villa Park 220/66 System,N/A,1133,41378.3752411492
Fortress,12,0,2,0,92,6,1.676,0,1.676,Kimball 66/12 Kv,Chino 220/66 System,N/A,1134,99210.3005748328
Franc,12,0,9,0,85,6,0.36,0,0.36,Santiago 66/12 Kv,Santiago 220/66 System,N/A,1135,37776.3402850659
Freedom,12,0,8,0,85,7,1.153,0,1.153,Liberty 66/12 Kv,Rector 220/66 System,N/A,1136,59332.0878137557
Frisbie,12,0,5,0,89,6,1.24,0,1.24,Alder 66/12 Kv,Etiwanda 220/66 System,N/A,1137,56192.6988060506
Hanger,12,8,18,1,9,64,12.796,0,12.796,Oasis 66/12 Kv,Antelope 220/66 System,N/A,1138,142758.375260689
Hanks,12,0,46,0,41,13,0.495,0,0.495,Cucamonga 66/12 Kv,Padua 220/66 System,N/A,1139,60244.1053579122
Harco,4,0,1,0,94,5,0.221,0,0.221,Lakewood 66/4 Kv,Del Amo 220/66 System,N/A,1140,15869.5065624509
Flatcar,12,0,20,0,65,15,3.23,0,3.23,Bloomington 66/12 Kv,Vista A 220/66 System,N/A,1141,95763.5488783281
Floral,16,0,6,0,87,8,0.335,0,0.335,Repetto 66/16 Kv,Mesa 220/66 System,N/A,1142,69625.3941521494
Flower,4,0,4,0,91,5,0.156,0,0.156,Edinger 12/4 Kv,Johanna 220/66 System,N/A,1143,11273.3933121932
Harlow,12,0,17,1,72,9,1.724,0,1.724,Chase 66/12 Kv,Mira Loma 220/66 System,N/A,1144,60322.0606247644
Harmony,12,27,4,0,17,51,3.158,0,3.158,Bliss 66/12 Kv,Springville 220/66 System,N/A,1145,260049.200465521
Harmonica,12,0,4,0,90,6,1.098,0,1.098,Niguel 66/12 Kv,Santiago 220/66 System,N/A,1146,42377.7417059858
Harnage,12,0,3,0,92,5,2.157,0,2.157,Newcomb 115/12 Kv,Valley 'D' 500/115 System,N/A,1147,70578.2352552242
Flynn,16,0,29,0,58,13,2.317,0,2.317,Camarillo 66/16 Kv,Santa Clara 220/66 System,N/A,1148,117357.94585891
Fogg,12,5,3,0,72,19,1.328,0,1.328,Tulare 66/12 Kv,Rector 220/66 System,N/A,1149,173923.169891004
Fonda,12,0,8,0,82,10,0.254,0,0.254,La Habra 66/12 Kv,Olinda 220/66 System,N/A,1150,48310.695219123
Harrell,12,4,13,1,63,18,0.241,0,0.241,Goshen 66/12 Kv,Rector 220/66 System,N/A,1151,112514.770224303
Harris,4,0,0,0,0,0,0,0,0,Stoddard 33/4 Kv,San Bernardino 220/66 System,N/A,1152,1834.47162357395
Harrison,16,0,17,1,68,16,0.049,0,0.049,Wabash 66/16 Kv,Mesa 220/66 System,N/A,1153,51141.9074047097
Hass,12,0,7,0,80,14,0.561,0,0.561,Mentone 115/12 Kv,El Casco 220/115 System,N/A,1154,144379.749816393
Hatfield,12,0,2,0,91,7,1.045,0,1.045,Porterville 66/12 Kv,Springville 220/66 System,N/A,1155,62393.1806110848
Foote,12,0,4,0,92,6,0.238,0,0.238,Stadium 66/12 Kv,Alamitos 220/66 System,N/A,1156,44078.1529102225
Forage,12,1,5,0,53,40,1.052,0,1.052,Piute 66/12 Kv,Antelope 220/66 System,N/A,1157,135767.79476344
Forbid,16,0,24,0,65,10,0.144,0,0.144,Rush 66/16 Kv,Mesa 220/66 System,N/A,1158,61362.8209201103
Forest,12,0,56,2,7,34,0.07,0,0.07,State Street 66/12 Kv,Hinson 220/66 System,N/A,1159,29890.1372662009
Formosa,16,0,10,0,83,7,0.041,0,0.041,Fairfax 66/16 Kv,Eagle Rock 220/66 System,N/A,1160,26191.5760887908
Forty Eight St.,4,0,0,0,0,0,0,0,0,Forty Eight St. P.T. 16/4 Kv,La Cienega 220/66 System,N/A,1161,183.024781032931
Franklin,16,0,67,0,1,29,0,0,0,Colorado 66/16 Kv,La Cienega 220/66 System,N/A,1162,19263.9126228368
Hays,12,0,5,0,86,9,1.037,0,1.037,Venida 66/12 Kv,Rector 220/66 System,N/A,1163,63179.0247678419
Hayward,4,0,2,0,94,4,0.067,0,0.067,Fremont 16/4 Kv,Lighthipe 220/66 System,N/A,1164,12694.0701789687
Heartwell,4,0,2,0,94,4,0.084,0,0.084,Heartwell P.T. 12/4 Kv,Del Amo 220/66 System,N/A,1165,3966.33788932055
Heftler,12,0,42,1,41,16,0.037,0,0.037,Bain 66/12 Kv,Mira Loma 220/66 System,N/A,1166,61262.2205118679
Heisman,12,0,4,0,91,5,1.774,0,1.774,Trophy 66/12 Kv,Chino 220/66 System,N/A,1167,50633.822318081
Helena,4,0,4,0,87,9,0.159,0,0.159,Santa Barbara 66/4 Kv,Goleta 220/66 System,N/A,1168,27033.0096643792
Fraternity,16,0,14,0,74,13,0.637,0,0.637,Isla Vista 66/16 Kv,Goleta 220/66 System,N/A,1169,44015.1305478244
Freeland,4,0,2,0,87,11,0.117,0,0.117,Oldfield 12/4 Kv,Lighthipe 220/66 System,N/A,1170,9650.2094086146
Freightliner,12,0,10,1,73,16,0.382,0,0.382,Roadway 115/12 Kv,Victor 220/115 System,N/A,1171,93699.3731265335
Fry,12,0,57,0,28,16,0.023,0,0.023,Watson 66/12 Kv,Hinson 220/66 System,N/A,1172,29085.6906817241
Bruce Park,4.8,0,7,0,84,10,0.199,0,0.199,Blythe City 33/4.8 Kv,Blythe (Walc) 161/33 System,N/A,1173,19627.9380232577
Bryce,16,0,9,0,82,9,0.366,0,0.366,Amador 66/16 Kv,Rio Hondo 220/66 System,N/A,1174,82578.1643725172
Brydon,12,0,8,0,87,6,1.06,0,1.06,San Dimas 66/12 Kv,Padua 220/66 System,N/A,1175,45783.4748443604
Fudge,4,0,5,0,89,6,0.029,0,0.029,Fruitland 66/4 Kv,Laguna Bell De 220/66 System,N/A,1176,16165.4053860314
Fuerte,12,0,6,0,89,6,0.511,0,0.511,Nogales 66/12 Kv,Walnut 220/66 System,N/A,1177,52012.0707258173
Gable,16,0,70,0,1,25,0.546,0,0.546,Movie 66/16 Kv,La Cienega 220/66 System,N/A,1178,15698.3555414205
Gainsborough,16,0,8,0,87,6,0.583,0,0.583,Ravendale 66/16 Kv,Mesa 220/66 System,N/A,1179,33598.633238592
Bryn Mawr,12,0,6,0,85,10,1.105,0,1.105,Redlands 66/12 Kv,San Bernardino 220/66 System,N/A,1180,57923.5564406729
Buck,12,0,84,5,2,11,2.465,0,2.465,La Mirada 66/12 Kv,Del Amo 220/66 System,N/A,1181,31903.0406948527
Burdick,4,0,8,0,84,9,0.047,0,0.047,Ganesha 12/4 Kv,Chino 220/66 System,N/A,1182,15081.1446859737
Galahad,16,0,11,0,66,26,0.812,0,0.812,Latigo 66/16 Kv,Moorpark 220/66 System,N/A,1183,245738.306408962
Galileo,12,0,6,0,53,41,0,0,0,Galileo P.T. 33/12 Kv,Kramer 220/115 System,N/A,1184,45684.4620518697
Garden,4,0,8,0,88,5,0.153,0,0.153,Santa Barbara 66/4 Kv,Goleta 220/66 System,N/A,1185,13661.0472151245
Burger,4,0,20,0,68,11,0,0,0,Bicknell 16/4 Kv,Mesa 220/66 System,N/A,1186,15581.8732251517
Burleigh,4,0,9,0,84,8,0.023,0,0.023,Yukon 66/4 Kv,La Fresa 220/66 System,N/A,1187,17737.6311426004
Burns,12,0,3,0,93,3,1.098,0,1.098,Yucaipa 66/12 Kv,San Bernardino 220/66 System,N/A,1188,34651.2143135083
Gardendale,4,0,2,0,93,5,0.082,0,0.082,Imperial 66/4 Kv,Center 220/66 System,N/A,1189,22893.3963073464
Garlits,12,1,11,0,82,6,0,0,0,Cucamonga 66/12 Kv,Padua 220/66 System,N/A,1190,69301.6535391319
Garibaldi,16,0,9,0,82,9,0.709,0,0.709,Anita 66/16 Kv,Rio Hondo 220/66 System,N/A,1191,44459.2189048951
Burroughs,4.8,0,23,0,53,24,0.008,0,0.008,Ridgecrest 33/4.8 Kv,Kramer 220/115 System,N/A,1192,11593.3347802223
Butler,12,0,58,0,2,39,1.436,0,1.436,Carmenita 66/12 Kv,Del Amo 220/66 System,N/A,1193,23343.6177844618
Byer,16,0,10,0,84,7,0.814,0,0.814,Thousand Oaks 66/16 Kv,Moorpark 220/66 System,N/A,1194,74940.5308127132
Caballeros,4,0,22,0,64,15,0.277,0,0.277,Holiday 33/4 Kv,Devers 220/115 System,N/A,1195,24283.2875382194
Frontage,12,0,16,0,72,13,0.268,0,0.268,Savage 115/12 Kv,Victor 220/115 System,N/A,1196,92154.3394967861
Fruitvale,12,0,2,0,93,6,0.815,0,0.815,Nelson 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1197,24936.8285226058
Gabrielino,4,0,3,0,93,5,0.036,0,0.036,Gabrielino P.T. 16/4 Kv,Mesa 220/66 System,N/A,1198,4094.84392250063
Gamble,12,0,2,0,92,6,3.767,0,3.767,Alessandro 115/12 Kv,Valley 'Ab' 500/115 System,N/A,1199,41058.7025436517
Garbo,12,0,8,0,82,10,2.182,0,2.182,Farrell 115/12 Kv,Devers 220/115 System,N/A,1200,55915.0684792106
Gard,12,0,15,0,74,12,0.196,0,0.196,Eric 66/12 Kv,Del Amo 220/66 System,N/A,1201,19091.6249965896
Garford,4,0,1,0,95,4,0.26,0,0.26,Clark 66/4 Kv,Alamitos 220/66 System,N/A,1202,16408.4926661602
Garza,12,0,8,0,88,4,0.738,0,0.738,La Palma 66/12 Kv,Barre 220/66 System,N/A,1203,21157.4054266424
Cable,12,0,16,0,75,10,0.325,0,0.325,San Antonio 66/12 Kv,Padua 220/66 System,N/A,1204,58825.175018003
Caboose,12,0,6,0,89,6,0.59,0,0.59,Railroad 66/12 Kv,Walnut 220/66 System,N/A,1205,47594.3533009838
Cadillac,12,1,27,2,51,18,9.547,0,9.547,Narrows 66/12 Kv,Mesa 220/66 System,N/A,1206,78570.8281697317
Gehrig,12,0,19,0,74,8,0.416,0,0.416,Hamilton 66/12 Kv,Ellis 'A' 220/66 System,N/A,1207,81923.8031351347
